config,key_type,distribution,rows,cols,mt,real_time_s,run_gen_s,merge_s,materialize_s
binary_radix,int32,uniform,10000000,1,1,1.0444885,0.0718717913,0.845518186,0.0142738753
binary_radix,int32,zipf099,10000000,1,0,3.78275681,0.509074693,2.83306316,0.0897346327
binary_radix,int32,zipf099,10000000,1,1,0.911036541,0.080728209,0.707106436,0.0211210837
binary_radix,int32,zipf099,10000000,5,0,8.16666904,0.513433582,6.64645824,0.315420598
binary_radix,int32,zipf099,10000000,5,1,1.28038964,0.071620158,1.02667685,0.0346652023
binary_radix,str_sso,random,1000000,1,0,0.265264367,0.0531726247,0.171544904,0.0227930603
binary_radix,str_sso,random,1000000,1,1,0.0555714853,0.0120146277,0.032322652,0.00615110733
binary_radix,str_sso,random,10000000,1,0,7.77277398,0.478115657,6.63003351,0.290526737
binary_radix,str_sso,random,10000000,1,1,1.31100154,0.153547814,1.0992227,0.0448743907
binary_radix,str_sso,random,50000000,1,1,7.15437991,0.344259959,6.17949406,0.232675765
binary_radix,str_sso,zipf099,10000000,1,0,4.98044986,0.548723772,3.84080057,0.265161881
binary_radix,str_sso,zipf099,10000000,1,1,1.06632402,0.095244508,0.830358085,0.030287595
binary_radix,str_var,random,1000000,1,0,0.654037253,0.0612946773,0.3076007,0.167241033
binary_radix,str_var,random,1000000,1,1,0.099326777,0.013200277,0.0625604417,0.015643535
binary_radix,str_var,random,10000000,1,0,10.795603,0.526348705,9.15180007,0.574842657
binary_radix,str_var,random,10000000,1,1,1.70049428,0.121132525,1.382004,0.067379956
binary_radix,str_var,random,50000000,1,1,9.61905075,0.456290542,8.1550989,0.563059743
binary_radix,str_var,zipf099,10000000,1,0,9.79606159,0.756046616,7.86204203,0.590973178
binary_radix,str_var,zipf099,10000000,1,1,1.67781586,0.179300305,1.39366393,0.0669021383
kway_radix,int32,ascending,10000000,1,0,1.6418187,0.852273773,0.217054465,0.265916593
kway_radix,int32,dup128,10000000,1,0,1.60599356,0.548828947,0.613101086,0.155269417
kway_radix,int32,random,1000000,1,0,0.150209244,0.084379344,0.0440402187,0.014537356
kway_radix,int32,random,1000000,1,1,0.0325494632,0.0178654673,0.00914896833,0.0037722
kway_radix,int32,random,10000000,1,0,2.95111115,0.86781794,1.62832926,0.24678968
kway_radix,int32,random,10000000,1,1,1.01384449,0.140176271,0.644396096,0.0229715973
kway_radix,int32,random,10000000,5,0,3.71170409,0.765912244,1.79767668,0.444291558
kway_radix,int32,random,10000000,5,1,0.869763947,0.108132191,0.558504589,0.0554997627
kway_radix,int32,random,50000000,1,1,51.7690198,0.728088769,50.6744347,0.114578424
kway_radix,int32,uniform,10000000,1,0,2.87203453,0.744895067,1.72043211,0.25475683
kway_radix,int32,uniform,10000000,1,1,0.948746035,0.124919931,0.652325841,0.193321691
kway_radix,int32,zipf099,10000000,1,0,2.25069858,0.740945794,1.12437502,0.19855677
kway_radix,int32,zipf099,10000000,1,1,0.910181229,0.109735228,0.613401787,0.0221164137
kway_radix,int32,zipf099,10000000,5,0,3.14179038,0.496309935,1.75259964,0.371020594
kway_radix,int32,zipf099,10000000,5,1,0.881105491,0.081706929,0.602808708,0.0512650477
kway_radix,str_sso,random,1000000,1,0,0.153038345,0.0584289733,0.0484206833,0.0314357983
kway_radix,str_sso,random,1000000,1,1,0.0368515638,0.0128665693,0.0125223587,0.007945231
kway_radix,str_sso,random,10000000,1,0,2.94770748,0.491625693,1.75638819,0.394548343
kway_radix,str_sso,random,10000000,1,1,0.973922744,0.092685902,0.621792661,0.14408039
kway_radix,str_sso,random,50000000,1,1,52.1153029,0.437745426,51.2508496,0.283853607
kway_radix,str_sso,zipf099,10000000,1,0,3.41668917,0.588034629,2.11893413,0.375765161
kway_radix,str_sso,zipf099,10000000,1,1,1.14103857,0.097531064,0.775191264,0.0558442593
kway_radix,str_var,random,1000000,1,0,0.418765131,0.0623981133,0.052422794,0.0829038593
kway_radix,str_var,random,1000000,1,1,0.144855452,0.0143849207,0.0126094317,0.0253158083
kway_radix,str_var,random,10000000,1,0,3.39334771,0.490260422,1.68116447,0.758478113
kway_radix,str_var,random,10000000,1,1,1.08947914,0.211771465,0.634812595,0.10919093
kway_radix,str_var,random,50000000,1,1,52.1244219,0.567964933,50.6624479,0.562345859
kway_radix,str_var,zipf099,10000000,1,0,4.50538325,0.894075231,2.26239371,0.793539698
kway_radix,str_var,zipf099,10000000,1,1,1.27789515,0.173989765,0.825417106,0.180389415
