EXPERIMENT,SCALE,ENCODING,NOTE,PAYLOAD_COLS,RUN_ID,TOTAL_US,MATERIALIZE_US,RUN_GEN_US,MERGE_US,WRITE_OUT_US
"TPC-H_Lineitem_ByShipdate_payloadall",1,"Dictionary","multi-threaded",15,5,1687037,35535,79399,360394,1191537
"TPC-H_Lineitem_ByShipdate_payloadall",1,"Dictionary","multi-threaded",15,6,2071941,85898,50048,365364,1550210
"TPC-H_Lineitem_ByShipdate_payloadall",1,"Dictionary","multi-threaded",15,7,1980462,79824,77466,346680,1461087
"TPC-H_Lineitem_ByShipdate_payloadall",1,"Dictionary","multi-threaded",15,8,1634772,65071,67530,351140,1130812
"TPC-H_Lineitem_ByShipdate_payloadall",1,"Dictionary","multi-threaded",15,9,2213460,65880,48869,351900,1672506
"TPC-H_Lineitem_ByOrderkey_Wide",1,"Dictionary","multi-threaded",15,0,956591,30361,38606,161033,664521
"TPC-H_Lineitem_ByOrderkey_Wide",1,"Dictionary","multi-threaded",15,1,1050998,44717,31414,164933,805627
"TPC-H_Lineitem_ByOrderkey_Wide",1,"Dictionary","multi-threaded",15,2,1093148,44092,39886,163132,842971
"TPC-H_Lineitem_ByOrderkey_Wide",1,"Dictionary","multi-threaded",15,3,845313,15755,47639,114641,663175
"TPC-H_Lineitem_ByOrderkey_Wide",1,"Dictionary","multi-threaded",15,4,1115797,58027,31867,163353,858445
"TPC-H_Lineitem_ByOrderkey_Wide",1,"Dictionary","multi-threaded",15,5,1143404,55088,40472,171892,873137
"TPC-H_Lineitem_ByOrderkey_Wide",1,"Dictionary","multi-threaded",15,6,975711,32185,38739,161345,683202
"TPC-H_Lineitem_ByOrderkey_Wide",1,"Dictionary","multi-threaded",15,7,1086098,43177,31308,162042,790145
"TPC-H_Lineitem_ByOrderkey_Wide",1,"Dictionary","multi-threaded",15,8,1112654,42177,39356,157017,813600
"TPC-H_Lineitem_ByOrderkey_Wide",1,"Dictionary","multi-threaded",15,9,960974,33827,38953,162159,665547
"TPC-H_Lineitem_ByLinenumberQty_Wide",1,"Dictionary","multi-threaded",14,0,2033146,31718,54095,330646,1558833
"TPC-H_Lineitem_ByLinenumberQty_Wide",1,"Dictionary","multi-threaded",14,1,1733598,23552,46102,329477,1266986
"TPC-H_Lineitem_ByLinenumberQty_Wide",1,"Dictionary","multi-threaded",14,2,2039021,32807,34284,342222,1573345
"TPC-H_Lineitem_ByLinenumberQty_Wide",1,"Dictionary","multi-threaded",14,3,2000838,29597,47050,332726,1534619
"TPC-H_Lineitem_ByLinenumberQty_Wide",1,"Dictionary","multi-threaded",14,4,1486034,25747,46166,341260,1016971
"TPC-H_Lineitem_ByLinenumberQty_Wide",1,"Dictionary","multi-threaded",14,5,1913858,19854,28713,286599,1574599
"TPC-H_Lineitem_ByLinenumberQty_Wide",1,"Dictionary","multi-threaded",14,6,2023750,31483,53364,332290,1603618
"TPC-H_Lineitem_ByLinenumberQty_Wide",1,"Dictionary","multi-threaded",14,7,1485954,24740,45686,340141,1020635
"TPC-H_Lineitem_ByLinenumberQty_Wide",1,"Dictionary","multi-threaded",14,8,2084218,34811,34705,335174,1618563
"TPC-H_Lineitem_ByLinenumberQty_Wide",1,"Dictionary","multi-threaded",14,9,2069163,30814,53064,334618,1603475
