EXPERIMENT,SCALE,ENCODING,NOTE,PAYLOAD_COLS,RUN_ID,TOTAL_US,MATERIALIZE_US,RUN_GEN_US,MERGE_US,WRITE_OUT_US
"TPC-H_Lineitem_ByOrderkey_Wide",1,"Dictionary","multi-threaded",15,6,11265634,224874,74326,631455,10180762
"TPC-H_Lineitem_ByOrderkey_Wide",1,"Dictionary","multi-threaded",15,7,11299551,226538,73791,628157,10177543
"TPC-H_Lineitem_ByOrderkey_Wide",1,"Dictionary","multi-threaded",15,8,11747257,227601,75706,726604,10566111
"TPC-H_Lineitem_ByOrderkey_Wide",1,"Dictionary","multi-threaded",15,9,11458818,220460,95403,630564,10367089
"TPC-H_Lineitem_ByLinenumberQty_Wide",1,"Dictionary","multi-threaded",14,0,12128931,389034,88081,1126474,10355392
"TPC-H_Lineitem_ByLinenumberQty_Wide",1,"Dictionary","multi-threaded",14,1,12219482,378138,78933,1213194,10397343
"TPC-H_Lineitem_ByLinenumberQty_Wide",1,"Dictionary","multi-threaded",14,2,12172764,384719,81554,1162989,10402009
"TPC-H_Lineitem_ByLinenumberQty_Wide",1,"Dictionary","multi-threaded",14,3,12250541,387770,88553,1165832,10459769
"TPC-H_Lineitem_ByLinenumberQty_Wide",1,"Dictionary","multi-threaded",14,4,12226260,386701,88264,1173244,10393821
"TPC-H_Lineitem_ByLinenumberQty_Wide",1,"Dictionary","multi-threaded",14,5,12089129,388509,88887,1164643,10297622
"TPC-H_Lineitem_ByLinenumberQty_Wide",1,"Dictionary","multi-threaded",14,6,12094246,388662,89451,1125812,10296516
"TPC-H_Lineitem_ByLinenumberQty_Wide",1,"Dictionary","multi-threaded",14,7,12098598,386555,89680,1170142,10266061
"TPC-H_Lineitem_ByLinenumberQty_Wide",1,"Dictionary","multi-threaded",14,8,12053221,387508,88627,1171086,10264564
"TPC-H_Lineitem_ByLinenumberQty_Wide",1,"Dictionary","multi-threaded",14,9,12406757,390959,88860,1379487,10406093
